payment_id,order_id,gross_paise,fee_paise,gst_paise,net_paise,settlement_id,settled_at,utr
PAY00049,ORD00049,608582,12172,2191,594219,STL0008,2026-01-07,UTR8973915
PAY00050,ORD00050,603306,12066,2172,589068,STL0009,2026-01-16,UTR6672134
PAY00051,ORD00051,272086,5442,980,265664,STL0009,2026-01-16,UTR6672134
PAY00052,ORD00052,815388,16308,2935,796145,STL0009,2026-01-16,UTR6672134
PAY00053,ORD00053,376858,7537,1357,367964,STL0009,2026-01-16,UTR6672134
PAY00054,ORD00054,731446,14629,2633,714184,STL0009,2026-01-16,UTR6672134
PAY00055,ORD00055,592717,11854,2134,578729,STL0009,2026-01-16,UTR6672134
PAY00056,ORD00056,309947,6199,1116,302632,STL0009,2026-01-16,UTR6672134
PAY00057,ORD00057,667024,13340,2401,651283,STL0010,2026-02-12,UTR3219824
PAY00058,ORD00058,124441,2489,448,121504,STL0010,2026-02-12,UTR3219824
PAY00059,ORD00059,120674,2413,434,117827,STL0010,2026-02-12,UTR3219824
PAY00060,ORD00060,396479,7930,1427,387122,STL0010,2026-02-12,UTR3219824
PAY00061,ORD00061,299565,5991,1078,292496,STL0010,2026-02-12,UTR3219824
PAY00062,ORD00062,558993,11180,2012,545801,STL0010,2026-02-12,UTR3219824
PAY00063,ORD00063,304801,6096,1097,297608,STL0011,2026-02-11,UTR4191175
PAY00064,ORD00064,476833,9537,1717,465579,STL0011,2026-02-11,UTR4191175
PAY00065,ORD00065,151639,3033,546,148060,STL0011,2026-02-11,UTR4191175
PAY00066,ORD00066,494154,9883,1779,482492,STL0011,2026-02-11,UTR4191175
PAY00067,ORD00067,814491,16290,2932,795269,STL0011,2026-02-11,UTR4191175
PAY00068,ORD00068,735197,14704,2647,717846,STL0011,2026-02-11,UTR4191175
PAY00069,ORD00069,472179,9444,1700,461035,STL0011,2026-02-11,UTR4191175
PAY00070,ORD00070,164576,3292,593,160691,STL0011,2026-02-11,UTR4191175
PAY00071,ORD00071,492374,9847,1772,480755,STL0012,2026-02-03,UTR4965789
PAY00072,ORD00072,535100,10702,1926,522472,STL0012,2026-02-03,UTR4965789
PAY00073,ORD00073,129046,2581,465,126000,STL0012,2026-02-03,UTR4965789
PAY00074,ORD00074,627057,12541,2257,612259,STL0012,2026-02-03,UTR4965789
PAY00075,ORD00075,733823,14676,2642,716505,STL0012,2026-02-03,UTR4965789
PAY00076,ORD00076,65474,1309,236,63929,STL0012,2026-02-03,UTR4965789
PAY00077,ORD00077,274130,5483,987,267660,STL0013,2026-02-06,UTR2022698
PAY00078,ORD00078,222634,4453,802,217379,STL0013,2026-02-06,UTR2022698
PAY00079,ORD00079,459386,9188,1654,448544,STL0013,2026-02-06,UTR2022698
PAY00080,ORD00080,873267,17465,3144,852658,STL0013,2026-02-06,UTR2022698
PAY00081,ORD00081,493555,9871,1777,481907,STL0013,2026-02-06,UTR2022698
PAY00082,ORD00082,803305,16066,2892,784347,STL0013,2026-02-06,UTR2022698
PAY00083,ORD00083,249122,4982,897,243243,STL0013,2026-02-06,UTR2022698
PAY00084,ORD00084,111324,2226,401,108697,STL0013,2026-02-06,UTR2022698
PAY00085,ORD00085,662554,13251,2385,646918,STL0014,2026-01-09,UTR3011363
PAY00086,ORD00086,606926,12139,2185,592602,STL0014,2026-01-09,UTR3011363
PAY00087,ORD00087,582496,11650,2097,568749,STL0014,2026-01-09,UTR3011363
PAY00088,ORD00088,244851,4897,881,239073,STL0014,2026-01-09,UTR3011363
PAY00089,ORD00089,121262,2425,437,118400,STL0014,2026-01-09,UTR3011363
PAY00090,ORD00090,699468,13989,2518,682961,STL0015,2026-02-13,UTR6033115
PAY00091,ORD00091,739305,14786,2661,721858,STL0015,2026-02-13,UTR6033115
PAY00092,ORD00092,598177,11964,2154,584059,STL0015,2026-02-13,UTR6033115
PAY00093,ORD00093,264181,5284,951,257946,STL0015,2026-02-13,UTR6033115
PAY00094,ORD00094,328517,6570,1183,320764,STL0015,2026-02-13,UTR6033115
PAY00095,ORD00095,59767,1195,215,58357,STL0016,2026-01-27,UTR5781295
PAY00096,ORD00096,640341,12807,2305,625229,STL0016,2026-01-27,UTR5781295
PAY00097,ORD00097,613750,12275,2210,599265,STL0016,2026-01-27,UTR5781295
PAY00098,ORD00098,328082,6562,1181,320339,STL0016,2026-01-27,UTR5781295
PAY00099,ORD00099,122132,2443,440,119249,STL0016,2026-01-27,UTR5781295
PAY00100,ORD00100,691390,13828,2489,675073,STL0017,2026-02-10,UTR5428914
PAY00101,ORD00101,750305,15006,2701,732598,STL0017,2026-02-10,UTR5428914
PAY00102,ORD00102,745613,14912,2684,728017,STL0017,2026-02-10,UTR5428914
PAY00103,ORD00103,327312,6546,1178,319588,STL0017,2026-02-10,UTR5428914
PAY00104,ORD00104,828480,16570,2983,808927,STL0017,2026-02-10,UTR5428914
PAY00105,ORD00105,335577,6712,1208,327657,STL0017,2026-02-10,UTR5428914
PAY00106,ORD00106,270861,5417,975,264469,STL0017,2026-02-10,UTR5428914
PAY00107,ORD00107,103266,2065,372,100829,STL0018,2026-02-06,UTR3500715
PAY00108,ORD00108,494151,9883,1779,482489,STL0018,2026-02-06,UTR3500715
PAY00109,ORD00109,53717,1074,193,52450,STL0018,2026-02-06,UTR3500715
PAY00110,ORD00110,187174,3743,674,182757,STL0018,2026-02-06,UTR3500715
PAY00111,ORD00111,827236,16545,2978,807713,STL0018,2026-02-06,UTR3500715
PAY00112,ORD00112,789945,15799,2844,771302,STL0018,2026-02-06,UTR3500715
PAY00113,ORD00113,60139,1203,217,58719,STL0018,2026-02-06,UTR3500715
PAY00114,ORD00114,660805,13216,2379,645210,STL0019,2026-01-08,UTR3592974
PAY00115,ORD00115,500664,10013,1802,488849,STL0019,2026-01-08,UTR3592974
PAY00116,ORD00116,373232,7465,1344,364423,STL0019,2026-01-08,UTR3592974
PAY00117,ORD00117,91832,1837,331,89664,STL0019,2026-01-08,UTR3592974
PAY00118,ORD00118,765198,15304,2755,747139,STL0019,2026-01-08,UTR3592974
PAY00119,ORD00119,157786,3156,568,154062,STL0019,2026-01-08,UTR3592974
PAY00120,ORD00120,637080,12742,2294,622044,STL0019,2026-01-08,UTR3592974
PAY00121,ORD00121,482322,9646,1736,470940,STL0020,2026-01-16,UTR6120253
PAY00122,ORD00122,822343,16447,2960,802936,STL0020,2026-01-16,UTR6120253
PAY00123,ORD00123,481712,9634,1734,470344,STL0020,2026-01-16,UTR6120253
PAY00124,ORD00124,216931,4339,781,211811,STL0020,2026-01-16,UTR6120253
PAY00125,ORD00125,90605,1812,326,88467,STL0020,2026-01-16,UTR6120253
PAY00126,ORD00126,259267,5185,933,253149,STL0020,2026-01-16,UTR6120253
PAY00127,ORD00127,742094,14842,2672,724580,STL0021,2026-01-20,UTR1463060
PAY00128,ORD00128,394207,7884,1419,384904,STL0021,2026-01-20,UTR1463060
PAY00129,ORD00129,122792,2456,442,119894,STL0021,2026-01-20,UTR1463060
PAY00130,ORD00130,722642,14453,2602,705587,STL0021,2026-01-20,UTR1463060
PAY00131,ORD00131,762526,15251,2745,744530,STL0021,2026-01-20,UTR1463060
PAY00132,ORD00132,658792,13176,2372,643244,STL0022,2026-01-22,UTR8315831
PAY00133,ORD00133,163668,3273,589,159806,STL0022,2026-01-22,UTR8315831
PAY00134,ORD00134,412479,8250,1485,402744,STL0022,2026-01-22,UTR8315831
PAY00135,ORD00135,685656,13713,2468,669475,STL0022,2026-01-22,UTR8315831
PAY00136,ORD00136,453906,9078,1634,443194,STL0022,2026-01-22,UTR8315831
PAY00137,ORD00137,317095,6342,1142,309611,STL0022,2026-01-22,UTR8315831
PAY00138,ORD00138,431913,8638,1555,421720,STL0023,2026-02-10,UTR3135534
PAY00139,ORD00139,746503,14930,2687,728886,STL0023,2026-02-10,UTR3135534
PAY00140,ORD00140,379164,7583,1365,370216,STL0023,2026-02-10,UTR3135534
PAY00141,ORD00141,364910,7298,1314,356298,STL0023,2026-02-10,UTR3135534
PAY00142,ORD00142,749287,14986,2697,731604,STL0023,2026-02-10,UTR3135534
PAY00143,ORD00143,471947,9439,1699,460809,STL0023,2026-02-10,UTR3135534
PAY00144,ORD00144,760219,15204,2737,742278,STL0024,2026-02-03,UTR3846949
PAY00145,ORD00145,646750,12935,2328,631487,STL0024,2026-02-03,UTR3846949
PAY00146,ORD00146,624553,12491,2248,609814,STL0024,2026-02-03,UTR3846949
PAY00147,ORD00147,350850,7017,1263,342570,STL0024,2026-02-03,UTR3846949
PAY00148,ORD00148,873927,17479,3146,853302,STL0024,2026-02-03,UTR3846949
PAY00149,ORD00149,736508,14730,2651,719127,STL0024,2026-02-03,UTR3846949
PAY00150,ORD00150,513246,10265,1848,501133,STL0024,2026-02-03,UTR3846949
PAY00151,ORD00151,274082,5482,987,267613,STL0024,2026-02-03,UTR3846949
PAY00152,ORD00152,147923,2958,532,144433,STL0025,2026-02-09,UTR7705062
PAY00153,ORD00153,375498,7510,1352,366636,STL0025,2026-02-09,UTR7705062
PAY00154,ORD00154,258802,5176,932,252694,STL0025,2026-02-09,UTR7705062
PAY00155,ORD00155,98458,1969,354,96135,STL0025,2026-02-09,UTR7705062
PAY00156,ORD00156,690967,13819,2487,674661,STL0025,2026-02-09,UTR7705062
PAY00157,ORD00157,484572,9691,1744,473137,STL0025,2026-02-09,UTR7705062
PAY00158,ORD00158,803240,16065,2892,784283,STL0025,2026-02-09,UTR7705062
PAY00159,ORD00159,837443,16749,3015,817679,STL0026,2026-01-15,UTR8795419
PAY00160,ORD00160,495798,9916,1785,484097,STL0026,2026-01-15,UTR8795419
PAY00161,ORD00161,893170,17863,3215,872092,STL0026,2026-01-15,UTR8795419
PAY00162,ORD00162,102657,2053,370,100234,STL0026,2026-01-15,UTR8795419
PAY00163,ORD00163,177253,3545,638,173070,STL0026,2026-01-15,UTR8795419
PAY00164,ORD00164,841937,16839,3031,822067,STL0027,2026-02-10,
PAY00165,ORD00165,804213,16084,2895,785234,STL0027,2026-02-10,
PAY00166,ORD00166,624485,12490,2248,609747,STL0027,2026-02-10,
PAY00167,ORD00167,829779,16596,2987,810196,STL0027,2026-02-10,
PAY00168,ORD00168,321782,6436,1158,314188,STL0027,2026-02-10,
PAY00169,ORD00169,718636,14373,2587,701676,STL0027,2026-02-10,
PAY00170,ORD00170,865451,17309,3116,845026,STL0027,2026-02-10,
PAY00171,ORD00171,798206,15964,2874,779368,STL0028,2026-02-10,UTR4589533
PAY00172,ORD00172,334913,6698,1206,327009,STL0028,2026-02-10,UTR4589533
PAY00173,ORD00173,616390,12328,2219,601843,STL0028,2026-02-10,UTR4589533
PAY00174,ORD00174,208157,4163,749,203245,STL0028,2026-02-10,UTR4589533
PAY00175,ORD00175,1991872,39837,7171,1944864,STL0028,2026-02-10,UTR4589533
PAY00176,ORD00176,396954,7939,1429,387586,STL0029,2026-02-03,UTR4700025
PAY00177,ORD00177,485970,9719,1749,474502,STL0029,2026-02-03,UTR4700025
PAY00178,ORD00178,490552,9811,1766,478975,STL0029,2026-02-03,UTR4700025
PAY00179,ORD00179,662451,13249,2385,646817,STL0029,2026-02-03,UTR4700025
PAY00180,ORD00180,852784,17056,3070,832658,STL0029,2026-02-03,UTR4700025
PAY00181,ORD00181,550149,11003,1981,537165,STL0029,2026-02-03,UTR4700025
PAY00182,ORD00182,363118,7262,1307,354549,STL0029,2026-02-03,UTR4700025
PAY00183,ORD00183,489375,9788,1762,477825,STL0029,2026-02-03,UTR4700025
PAY00184,ORD00184,507007,10140,1825,495042,STL0030,2026-01-20,UTR8190929
PAY00185,ORD00185,457746,9155,1648,446943,STL0030,2026-01-20,UTR8190929
PAY00186,ORD00186,762131,15243,2744,744144,STL0030,2026-01-20,UTR8190929
PAY00187,ORD00187,223061,4461,803,217797,STL0030,2026-01-20,UTR8190929
PAY00188,ORD00188,702483,14050,2529,685904,STL0030,2026-01-20,UTR8190929
PAY00189,ORD00189,463160,9263,1667,452230,STL0030,2026-01-20,UTR8190929
PAY00190,ORD00190,745205,14904,2683,727618,STL0030,2026-01-20,UTR8190929
